X1	Y1	ProbId1	X2	Y2	ProbId2	X3	Y3	ProbId3	X4	Y4	ProbId4	X5	Y5	ProbId5	X6	Y6	ProbId6	X7	Y7	ProbId7	X8	Y8	ProbId8	
1182.6	755.83	1	796.96	920.83	1	868.43	957.61	1	717.29	815.06	1	1139.3	861.49	1	1022.6	847.48	1	1071.9	934.23	1	597.95	716.03	1
1178.1	756.65	1	791.61	920.39	1	862.28	954.26	1	715.98	804.78	1	1143.7	853.35	1	1022.9	848.75	1	1079	931.9	1	600.95	721.11	1
1167.3	756.16	1	787.7	920.06	1	858.81	947.05	1	714.44	795.43	1	1147	846.92	1	1023.3	850.86	1	1083.5	926.98	1	606	725.91	1
1156.2	754.8	1	783.4	919.72	1	854.08	937	1	713.12	787.52	1	1150	841.08	1	1026.5	851.07	1	1091.6	917.59	1	611.09	730.19	1
1144.8	752.58	1	779.01	918.05	1	850.26	927.41	1	711.71	781.03	1	1152.4	836.14	1	1033.2	847.2	1	1099.9	909.81	1	614.77	733.51	1
1133.1	750.17	1	772.87	912.3	1	847.73	916.89	1	710.7	774.18	1	1155	830.64	1	1038.3	843.69	1	1106.9	903.2	1	618.81	737.06	1
1123.3	747.9	1	765.17	905.76	1	843.24	905.52	1	709.82	765.36	1	1156.9	826.53	1	1042.6	840.16	1	1113.5	897.8	1	622.42	740.48	1
1114.3	745.73	1	758.06	899.86	1	840.53	894.81	1	709.42	761.38	1	1159.2	821.2	1	1046.1	837.22	1	1119.2	893.46	1	625.58	743.58	1
1106.3	743.79	1	753.09	895.5	1	836.7	883.32	1	709.18	753.94	1	1160.5	817.91	1	1049.7	833.41	1	1124	889.62	1	628.03	745.95	1
1098.2	741.55	1	747.73	890.19	1	833.05	872.65	1	708.94	750.38	1	1164.2	813.48	1	1052.6	830.15	1	1128.9	885.02	1	631	748.63	1
1091.1	739.5	1	743.13	885.55	1	828.18	863.25	1	708.57	744.9	1	1170.3	801.88	1	1055.2	827.39	1	1132.5	881.49	1	633.71	750.99	1
1084.8	737.65	1	739.03	881.14	1	818.84	858.62	1	708.54	740.71	1	1175.1	790.93	1	1057.7	824.41	1	1136.7	877.03	1	637.09	756.35	1
1079.7	736.39	1	735.65	877.43	1	808.82	855.76	1	708.21	735.15	1	1180.6	779.45	1	1060	821.46	1	1140	873.57	1	639.19	766.48	1
1073.5	734.72	1	732.39	873.89	1	798.77	852.63	1	708.21	732.54	1	1184.5	770.11	1	1061.8	818.13	1	1142.8	870.66	1	646.36	780.62	1
1068.6	733.51	1	728.78	869.78	1	790.44	850.34	1	707.79	727.77	1	1187	761.71	1	1061.4	814.83	1	1145.6	867.4	1	653.76	791.22	1
1063.2	732.11	1	725.95	866.46	1	782.83	848.52	1	709.21	724.09	1	1182.6	753.86	1	1057.6	811.57	1	1149.7	856.6	1	669.94	797.67	1
1058.8	730.9	1	723.5	863.51	1	775.99	847.26	1	713.49	721.93	1	1172.6	739.81	1	1053.4	809.27	1	1159.9	844.31	1	685.38	803.67	1
1054.5	729.89	1	720.04	859.55	1	767.96	845.86	1	722.27	721.44	1	1162.1	728.96	1	1048.4	807.16	1	1167.9	832.44	1	699.35	808.26	1
1050.3	728.74	1	717.74	857.09	1	761.2	846.73	1	730.93	721.66	1	1151.6	718.63	1	1043.6	805.78	1	1175.8	821.61	1	711.38	807.83	1
1046.5	722.81	1	715.34	854.26	1	756.46	850.25	1	738.91	721.35	1	1142.1	709.94	1	1038.6	807.67	1	1183.6	811.9	1	722.46	801.84	1
1042.5	712.45	1	713.24	851.73	1	753.51	854.24	1	747.02	721.18	1	1133.2	702.3	1	1030.1	812.44	1	1191.7	808.04	1	734.75	795.29	1
1039.5	701.87	1	710.97	849.03	1	750.53	858.98	1	754.5	722.77	1	1125.3	696.09	1	1022.5	816.45	1	1201.3	807.53	1	744.4	790.84	1
1036.4	689.84	1	708.62	846.4	1	747.76	862.84	1	761.8	730.7	1	1117.7	689.77	1	1015.1	820.7	1	1208.9	807.41	1	753.82	786.73	1
1034.5	678.36	1	707	844.57	1	745.06	866.29	1	773.4	739.83	1	1111	684.36	1	1009.3	824.2	1	1213.9	804.46	1	762.44	782.86	1
1033.2	667.63	1	705.42	843.2	1	742.07	870.33	1	784.48	747.9	1	1105.2	679.82	1	1003.6	827.66	1	1219	796.26	1	770.6	782.96	1
1031.6	656.34	1	703.07	840.62	1	739.41	873.25	1	795.83	754.38	1	1100.1	675.64	1	997.85	831.04	1	1225.5	786.23	1	774.48	788.08	1
1030.5	647.97	1	699.24	835.04	1	737.08	875.99	1	809.16	759.45	1	1096.6	670.95	1	993	833.84	1	1223.8	776.49	1	776.9	798.48	1
1029.4	639.22	1	692.57	828.73	1	734.85	878.77	1	821.75	764.71	1	1096.4	663.92	1	988.41	836.84	1	1214.1	767.36	1	779.2	807.36	1
1028.5	631.87	1	687.12	822.18	1	732.52	880.98	1	832.45	769.07	1	1097.2	654.36	1	984.29	839.39	1	1205	759.08	1	781.45	815.44	1
1027.6	625.13	1	682.6	815.33	1	729.75	883.5	1	842.5	773.37	1	1097.9	645.71	1	980.11	841.88	1	1197.2	757.99	1	783.91	823.76	1
1026.4	617.8	1	677.63	808.15	1	728.19	884.17	1	851.3	777.18	1	1099.9	636.71	1	976.38	844.09	1	1186	764.13	1	785.53	830.27	1
1025.7	612.04	1	673.72	802.36	1	724.49	883.21	1	860.52	781.29	1	1102.2	627.87	1	972.68	846.25	1	1173.6	769.8	1	786.96	836.39	1
1024.5	605.67	1	669.91	796.52	1	719.02	878.84	1	869.37	785.71	1	1104	620.3	1	969.3	848.04	1	1162.5	775.56	1	785.28	846.46	1
1023.8	600.13	1	666.95	791.72	1	714.06	873.72	1	873.54	791.98	1	1105.5	614.44	1	966.35	849.7	1	1149.5	780.97	1	783.47	858.48	1
