X1	Y1	ProbId1	X2	Y2	ProbId2	X3	Y3	ProbId3	X4	Y4	ProbId4	X5	Y5	ProbId5	X6	Y6	ProbId6	X7	Y7	ProbId7	X8	Y8	ProbId8	
652.9	787.67	1	635.35	729.41	0.98052	924.35	472.49	0.76694	730.48	246.77	0.99959	1290	436.59	1	1250.6	382.27	1	1314.4	500.61	1	1113	833.72	1
648.68	781.23	1	635.78	721.41	0.98052	920.07	472.39	0.76694	733.31	245.23	0.99959	1291.2	441.94	1	1255.5	385.99	1	1317.7	509.82	1	1112.3	828.19	1
645.24	776.44	1	636.21	715.74	0.98052	916.09	472.32	0.76694	736.84	243.2	0.99959	1291.1	444.98	1	1259.9	389.53	1	1318.9	513.82	1	1111.7	823.35	1
641.79	771.65	1	636.38	708.95	0.98052	912.57	472.28	0.76694	740.38	242.94	0.99959	1291.5	452.65	1	1263.6	392.52	1	1320.1	518.08	1	1111.2	819.64	1
638.87	767.13	1	636.46	704.39	0.98052	909.76	472.22	0.76694	747.9	242.63	0.99959	1293.8	459.96	1	1267	395.14	1	1320.4	519.43	1	1110.8	815.74	1
636.88	761.05	1	636.75	699.19	0.98052	906.34	472.13	0.76694	754.02	241.65	0.99959	1297.5	468.13	1	1271.2	398.04	1	1320.2	526.04	1	1110.2	812.15	1
638.63	754.08	1	637.13	695.03	0.98052	903.61	471.91	0.76694	757.66	241.05	0.99959	1300.1	474.29	1	1272.8	400.03	1	1322	535.04	1	1109.4	808.9	1
640.27	745.42	1	637.09	690.73	0.98052	899.59	471.38	0.76694	763.33	240.09	0.99959	1302.1	478	1	1276.6	404.75	1	1323.4	542.18	1	1109.1	805.83	1
641.86	737.12	1	637.33	685.44	0.98052	895.72	469.28	0.76694	768.55	238.81	0.99959	1301.9	484.3	1	1280.2	408.82	1	1322.7	544.47	1	1108.8	802.98	1
643.68	729.3	1	637.37	682.27	0.98052	889.07	465.47	0.76694	777.04	237.21	0.99959	1304.3	493.34	1	1283.5	412.49	1	1321.3	551.88	1	1108.4	800.51	1
645.04	722.88	1	637.39	679.31	0.98052	881.82	461.84	0.76694	782.51	235.84	0.99959	1306.8	499.38	1	1285.7	417.23	1	1321.4	560.44	1	1107.8	798.06	1
646.72	716.56	1	637.29	674.35	0.98052	876.22	458.89	0.76694	787.07	234.7	0.99959	1308.3	504.29	1	1287.4	421.87	1	1321.7	567.11	1	1105.2	795.12	1
648.08	711.08	1	635.16	668.88	0.98052	870.85	456.05	0.76694	792.88	232.97	0.99959	1308.3	506.62	1	1290.7	430.71	1	1321.8	570.83	1	1101.9	791.34	1
649.15	705.88	1	634.05	662.39	0.98052	865.95	453.1	0.76694	798.12	230.78	0.99959	1307.9	515.43	1	1292.6	434.8	1	1320.7	572.86	1	1098.7	785.83	1
650.33	700.88	1	632.98	654.12	0.98052	860.98	450.25	0.76694	804.39	228.59	0.99959	1309.8	525.56	1	1293.9	438.64	1	1313.7	579.21	1	1095.9	781.75	1
651.4	697.13	1	632.08	647.33	0.98052	856.91	448.03	0.76694	809.55	227.06	0.99959	1311.4	532.65	1	1294.4	442.54	1	1309.8	583.15	1	1093	777.99	1
652.44	694.2	1	630.83	639.94	0.98052	853.53	446.14	0.76694	814.23	225.38	0.99959	1311.6	537.27	1	1296.7	449.82	1	1300.7	587.96	1	1089.9	774.12	1
653.7	690.78	1	629.85	634.11	0.98052	849.95	444.1	0.76694	818.8	223.82	0.99959	1310.4	541.59	1	1297.4	455.02	1	1295.7	590.94	1	1086.7	769.68	1
654.74	686.92	1	628.83	628.35	0.98052	847.17	442.43	0.76694	821.68	223.05	0.99959	1307.9	549.67	1	1299.2	465.33	1	1289.5	593.61	1	1083.8	766.09	1
655.7	683.19	1	628.53	624.27	0.98052	843.66	440.48	0.76694	824.29	221.58	0.99959	1307.2	554.74	1	1301.3	472.65	1	1282.1	590.65	1	1081.3	762.89	1
